source_id,profile_id,description,driver_age,gender,marital,years_licensed,incidents,violations,coverage,liability_limits,comp_deductible,coll_deductible,vehicle,annual_miles,good_student,driver_training,other
nd-2026,nd-2026-ex01,"Example #1: Single Male, Age 23. Drives 2017 Ford F150 XLT 4X4 (VIN #: 1FTEW1EF4H) 4 miles each way to work, 5 days per week. Annual mileage = 15,000. Clean driving record for 3 years and excellent credit history. There are no other drivers in household. $250/$500 deductible.",23,M,single,,0,0,full (source prints a deductible pair; comp/coll not itemized),"BI $100k/$300k; PD $50,000; UM $100k/$300k; UIM $100k/$300k; Basic PIP $30,000 (p.5 'IMPORTANT NOTE' chart, scenarios 1-8)",,,2017 Ford F150 XLT 4X4,15000,,,'Clean driving record for 3 years'; excellent credit; '$250/$500 deductible' printed (not labeled comp/coll)
nd-2026,nd-2026-ex02,"Example #2: Single Female, Age 30. Drives 2017 Acura TL (VIN #: 19UUB2F56H) 4 miles each way to work, 5 days per week. Annual mileage = 10,000. Clean driving record for 3 years and excellent credit history. There are no other drivers in household. $250/$500 deductible.",30,F,single,,0,0,full (source prints a deductible pair; comp/coll not itemized),"BI $100k/$300k; PD $50,000; UM $100k/$300k; UIM $100k/$300k; Basic PIP $30,000 (p.5 'IMPORTANT NOTE' chart, scenarios 1-8)",,,2017 Acura TL,10000,,,'Clean driving record for 3 years'; excellent credit; '$250/$500 deductible' printed (not labeled comp/coll)
nd-2026,nd-2026-ex03,"Example #3: Married Couple, both age 35. Husband drives 2016 Dodge Ram 4X4 1500 (VIN #: 3C6RR7LT8G) 5 miles each way to work, five days per week. Annual mileage = 12,000. Wife drives 2014 Ford Taurus (VIN#:1FAHP2E85E) to work 2 miles each way, five days per week. Annual mileage = 7,000. Each driver has a clean record for the last 3 years and excellent credit history. There are no other drivers in household. $250/$500 deductible.",35;35,M;F,married,,0,0,full (source prints a deductible pair; comp/coll not itemized),"BI $100k/$300k; PD $50,000; UM $100k/$300k; UIM $100k/$300k; Basic PIP $30,000 (p.5 'IMPORTANT NOTE' chart, scenarios 1-8)",,,2016 Dodge Ram 4X4 1500; 2014 Ford Taurus,12000;7000,,,two drivers two vehicles; clean 3 yrs; excellent credit; '$250/$500 deductible' printed
nd-2026,nd-2026-ex04,"Example #4: Married couple, both age 65 and retired. Husband drives 2020 Ford F-150 Lariat pickup(VIN #: 1FTEW1E47L). Annual mileage = 10,000. Wife drives 2017 Toyota Prius V Two (VIN#: JTDZN3EU1H). Annual mileage= 4,000. Both have clean records and excellent credit history. There are no other drivers in household. $100/$250 deductible.",65;65,M;F,married,,0,0,full (source prints a deductible pair; comp/coll not itemized),"BI $100k/$300k; PD $50,000; UM $100k/$300k; UIM $100k/$300k; Basic PIP $30,000 (p.5 'IMPORTANT NOTE' chart, scenarios 1-8)",,,2020 Ford F-150 Lariat; 2017 Toyota Prius V Two,10000;4000,,,retired; clean records; excellent credit; '$100/$250 deductible' printed
nd-2026,nd-2026-ex05,"Example #5: Married couple ages 46 & 44 with Youthful Driver. Husband, age 46, drives 2015 Chevrolet Silverado pickup (VIN #: 3GCUKSEC3F) to work 8 miles each way, five days per week. Annual mileage = 15,000. Wife, age 44, drives a 2012 Subaru Outback (VIN #: 4S4BRCKC4C) to work 5 miles each way, 5 days per week. Annual mileage = 10,000. Youthful driver male, age 16, Junior in High School. ‘A’ average student drives the pickup on an occasional basis. All drivers have clean records. Husband and wife have excellent credit history. The teenage driver has no credit history. $250/$500 deductible.",46;44;16,M;F;M,married,,0,0,full (source prints a deductible pair; comp/coll not itemized),"BI $100k/$300k; PD $50,000; UM $100k/$300k; UIM $100k/$300k; Basic PIP $30,000 (p.5 'IMPORTANT NOTE' chart, scenarios 1-8)",,,2015 Chevrolet Silverado; 2012 Subaru Outback,15000;10000,yes ('A' average),,"16-yr-old occasional driver of pickup, no credit history; parents excellent credit; '$250/$500 deductible' printed"
nd-2026,nd-2026-ex06,"Example #6: Single Female, Age 48 with Youthful driver. Drives 2017 Buick LaCrosse (VIN #: 1G4ZR5SS9H) to work 3 miles each way, five days per week. Annual mileage = 18,000. Youthful driver male, age 16, Junior in High School. ‘A’ average student drives the car on an occasional basis. All drivers have clean records. The female driver has excellent credit history. The youthful driver has no credit history. $250/$500 deductible.",48;16,F;M,single (parent),,0,0,full (source prints a deductible pair; comp/coll not itemized),"BI $100k/$300k; PD $50,000; UM $100k/$300k; UIM $100k/$300k; Basic PIP $30,000 (p.5 'IMPORTANT NOTE' chart, scenarios 1-8)",,,2017 Buick LaCrosse,18000,yes ('A' average),,"16-yr-old occasional driver, no credit history; one vehicle; '$250/$500 deductible' printed"
nd-2026,nd-2026-ex07,"Example #7: Single Female, Age 72. Drives 2016 Lincoln MKS (VIN #: 1LNHL9EKXG). Annual mileage = 5,000. Clean driving record for three years and excellent credit history. $250/$500 deductible.",72,F,single,,0,0,full (source prints a deductible pair; comp/coll not itemized),"BI $100k/$300k; PD $50,000; UM $100k/$300k; UIM $100k/$300k; Basic PIP $30,000 (p.5 'IMPORTANT NOTE' chart, scenarios 1-8)",,,2016 Lincoln MKS,5000,,,'Clean driving record for three years'; excellent credit; '$250/$500 deductible' printed
nd-2026,nd-2026-ex08,"Example #8: Married couple, both age 25, with 2 young children at home. Husband drives 2014 Toyota Corolla (VIN #: 5YFBPRHE5E) 8 miles to work each way, five days per week. Annual mileage = 12,000. Wife drives 2013 Ford Focus (VIN #: 1FADP3L93D) 6 miles to daycare and work each day, 5 days per week. Annual mileage = 10,000. The husband had an accident one year ago, causing $7,000 damage to another party. The wife has a speeding ticket (45 mph in a 35 mph zone). Both drivers have excellent credit history. $250/$500 deductible.",25;25,M;F,married,,1,1,full (source prints a deductible pair; comp/coll not itemized),"BI $100k/$300k; PD $50,000; UM $100k/$300k; UIM $100k/$300k; Basic PIP $30,000 (p.5 'IMPORTANT NOTE' chart, scenarios 1-8)",,,2014 Toyota Corolla; 2013 Ford Focus,12000;10000,,,"husband: accident 1 yr ago causing $7,000 damage to another party (fault not literally stated); wife: speeding ticket 45/35; 2 young children; '$250/$500 deductible' printed"
nd-2026,nd-2026-ex09,"Example #9: Single Male, age 21. Drives 2009 Ford Mustang (VIN #: 1ZVHT80N19) 5 miles to work, 5 days per week. Annual Mileage = 12,000. He has a speeding violation 2 years old (75mph in 55 mph zone), a speeding violation 1 year old (45mph in a 25mph zone), and an “At Fault” accident causing $9,500 damage to a third party 6 months ago. Driver has excellent credit history. There are no other drivers in the household. Driver is looking for a “liability only”.",21,M,single,,1,2,liability-only,"BI $25k/$50k; PD $25,000; UM $25k/$50k; UIM $25k/$50k; Basic PIP $30,000 (p.5 'IMPORTANT NOTE' chart, scenarios 9-12)",,,2009 Ford Mustang,12000,,,"'At Fault' accident $9,500 6 months ago; speeding 75/55 (2 yrs ago) and 45/25 (1 yr ago); excellent credit"
nd-2026,nd-2026-ex10,"Example #10: Single male, age 40. Drives 2017 Chevrolet Impala LT (VIN#: 2G1105S34H) 10 miles each way to work, 5 days per week. Annual mileage = 15,000. Last month he was convicted of Driving Under the influence (DUI). He needs to make an “SR-22” filing to get his license back. Driver has excellent credit history. There are no other drivers in the household. Driver is looking for a “liability only” policy.",40,M,single,,0,1,liability-only,"BI $25k/$50k; PD $25,000; UM $25k/$50k; UIM $25k/$50k; Basic PIP $30,000 (p.5 'IMPORTANT NOTE' chart, scenarios 9-12)",,,2017 Chevrolet Impala LT,15000,,,DUI conviction last month; SR-22 filing; excellent credit
