source_id,profile_id,description,driver_age,gender,marital,years_licensed,incidents,violations,coverage,liability_limits,comp_deductible,coll_deductible,vehicle,annual_miles,good_student,driver_training,other
ok-2026,ok-2026-A-male,"Scenario A (male): Age: 16 • Single male/female • Principal operator • Drives to school • No accidents or moving violations in three years • Drives less than 7,500 miles annually. This comparison of six month premiums for a 2018 Chevrolet Malibu LS 4-door sedan reflects the following insurance coverage: A $25,000 maximum bodily injury limit for anyone person in any one accident subject to a maximum for all bodily injury damages of $50,000 in any one accident; a $25,000 maximum limit for property damage liability for any one accident; a $500 comprehensive deductible; a $500 collision deductible.",16,M,single,,0,0,full,"$25,000/$50,000 BI; $25,000 PD",500,500,2018 Chevrolet Malibu LS 4-door sedan,<7500,,,"use: drives to school; principal operator; rates exclude operator discounts (accident-free, good student, etc.) but include vehicle discounts (passive restraint, anti-lock brakes); insured assumed to meet each company's eligibility criteria"
ok-2026,ok-2026-A-female,"Scenario A (female): Age: 16 • Single male/female • Principal operator • Drives to school • No accidents or moving violations in three years • Drives less than 7,500 miles annually. This comparison of six month premiums for a 2018 Chevrolet Malibu LS 4-door sedan reflects the following insurance coverage: A $25,000 maximum bodily injury limit for anyone person in any one accident subject to a maximum for all bodily injury damages of $50,000 in any one accident; a $25,000 maximum limit for property damage liability for any one accident; a $500 comprehensive deductible; a $500 collision deductible.",16,F,single,,0,0,full,"$25,000/$50,000 BI; $25,000 PD",500,500,2018 Chevrolet Malibu LS 4-door sedan,<7500,,,"use: drives to school; principal operator; rates exclude operator discounts (accident-free, good student, etc.) but include vehicle discounts (passive restraint, anti-lock brakes); insured assumed to meet each company's eligibility criteria"
ok-2026,ok-2026-B-male,"Scenario B (male): Age: 21 • Single male/female • Principal operator • Drives 18 miles roundtrip to work • No accidents or moving violations in three years • Drives 12,000 miles annually. This comparison of six month premiums for a 2018 Chevrolet Malibu LS 4-door sedan reflects the following insurance coverage: A $25,000 maximum bodily injury limit for anyone person in any one accident subject to a maximum for all bodily injury damages of $50,000 in any one accident; a $25,000 maximum limit for property damage liability for any one accident; a $500 comprehensive deductible; a $500 collision deductible.",21,M,single,,0,0,full,"$25,000/$50,000 BI; $25,000 PD",500,500,2018 Chevrolet Malibu LS 4-door sedan,12000,,,"use: commute 18 mi roundtrip; principal operator; rates exclude operator discounts (accident-free, good student, etc.) but include vehicle discounts (passive restraint, anti-lock brakes); insured assumed to meet each company's eligibility criteria"
ok-2026,ok-2026-B-female,"Scenario B (female): Age: 21 • Single male/female • Principal operator • Drives 18 miles roundtrip to work • No accidents or moving violations in three years • Drives 12,000 miles annually. This comparison of six month premiums for a 2018 Chevrolet Malibu LS 4-door sedan reflects the following insurance coverage: A $25,000 maximum bodily injury limit for anyone person in any one accident subject to a maximum for all bodily injury damages of $50,000 in any one accident; a $25,000 maximum limit for property damage liability for any one accident; a $500 comprehensive deductible; a $500 collision deductible.",21,F,single,,0,0,full,"$25,000/$50,000 BI; $25,000 PD",500,500,2018 Chevrolet Malibu LS 4-door sedan,12000,,,"use: commute 18 mi roundtrip; principal operator; rates exclude operator discounts (accident-free, good student, etc.) but include vehicle discounts (passive restraint, anti-lock brakes); insured assumed to meet each company's eligibility criteria"
ok-2026,ok-2026-C-male,"Scenario C (male): Age: 36 • Married male/female • Principal operator • Drives 18 miles roundtrip to work • No accidents or moving violations in three years • Drives 12,000 miles annually. This comparison of six month premiums for a 2018 Chevrolet Malibu LS 4-door sedan reflects the following insurance coverage: A $25,000 maximum bodily injury limit for anyone person in any one accident subject to a maximum for all bodily injury damages of $50,000 in any one accident; a $25,000 maximum limit for property damage liability for any one accident; a $500 comprehensive deductible; a $500 collision deductible.",36,M,married,,0,0,full,"$25,000/$50,000 BI; $25,000 PD",500,500,2018 Chevrolet Malibu LS 4-door sedan,12000,,,"use: commute 18 mi roundtrip; principal operator; rates exclude operator discounts (accident-free, good student, etc.) but include vehicle discounts (passive restraint, anti-lock brakes); insured assumed to meet each company's eligibility criteria"
ok-2026,ok-2026-C-female,"Scenario C (female): Age: 36 • Married male/female • Principal operator • Drives 18 miles roundtrip to work • No accidents or moving violations in three years • Drives 12,000 miles annually. This comparison of six month premiums for a 2018 Chevrolet Malibu LS 4-door sedan reflects the following insurance coverage: A $25,000 maximum bodily injury limit for anyone person in any one accident subject to a maximum for all bodily injury damages of $50,000 in any one accident; a $25,000 maximum limit for property damage liability for any one accident; a $500 comprehensive deductible; a $500 collision deductible.",36,F,married,,0,0,full,"$25,000/$50,000 BI; $25,000 PD",500,500,2018 Chevrolet Malibu LS 4-door sedan,12000,,,"use: commute 18 mi roundtrip; principal operator; rates exclude operator discounts (accident-free, good student, etc.) but include vehicle discounts (passive restraint, anti-lock brakes); insured assumed to meet each company's eligibility criteria"
ok-2026,ok-2026-D-male,"Scenario D (male): Age: 55 • Married male/female • Principal operator • Drives 18 miles roundtrip to work • No accidents or moving violations in three years • Drives 12,000 miles annually. This comparison of six month premiums for a 2018 Chevrolet Malibu LS 4-door sedan reflects the following insurance coverage: A $25,000 maximum bodily injury limit for anyone person in any one accident subject to a maximum for all bodily injury damages of $50,000 in any one accident; a $25,000 maximum limit for property damage liability for any one accident; a $500 comprehensive deductible; a $500 collision deductible.",55,M,married,,0,0,full,"$25,000/$50,000 BI; $25,000 PD",500,500,2018 Chevrolet Malibu LS 4-door sedan,12000,,,"use: commute 18 mi roundtrip; principal operator; rates exclude operator discounts (accident-free, good student, etc.) but include vehicle discounts (passive restraint, anti-lock brakes); insured assumed to meet each company's eligibility criteria"
ok-2026,ok-2026-D-female,"Scenario D (female): Age: 55 • Married male/female • Principal operator • Drives 18 miles roundtrip to work • No accidents or moving violations in three years • Drives 12,000 miles annually. This comparison of six month premiums for a 2018 Chevrolet Malibu LS 4-door sedan reflects the following insurance coverage: A $25,000 maximum bodily injury limit for anyone person in any one accident subject to a maximum for all bodily injury damages of $50,000 in any one accident; a $25,000 maximum limit for property damage liability for any one accident; a $500 comprehensive deductible; a $500 collision deductible.",55,F,married,,0,0,full,"$25,000/$50,000 BI; $25,000 PD",500,500,2018 Chevrolet Malibu LS 4-door sedan,12000,,,"use: commute 18 mi roundtrip; principal operator; rates exclude operator discounts (accident-free, good student, etc.) but include vehicle discounts (passive restraint, anti-lock brakes); insured assumed to meet each company's eligibility criteria"
ok-2026,ok-2026-E-male,"Scenario E (male): Age: 70 • Married male/female • Principal operator • Pleasure use only • No accidents or moving violations in three years • Drives 7,500 miles annually. This comparison of six month premiums for a 2018 Chevrolet Malibu LS 4-door sedan reflects the following insurance coverage: A $25,000 maximum bodily injury limit for anyone person in any one accident subject to a maximum for all bodily injury damages of $50,000 in any one accident; a $25,000 maximum limit for property damage liability for any one accident; a $500 comprehensive deductible; a $500 collision deductible.",70,M,married,,0,0,full,"$25,000/$50,000 BI; $25,000 PD",500,500,2018 Chevrolet Malibu LS 4-door sedan,7500,,,"use: pleasure use only; principal operator; rates exclude operator discounts (accident-free, good student, etc.) but include vehicle discounts (passive restraint, anti-lock brakes); insured assumed to meet each company's eligibility criteria"
ok-2026,ok-2026-E-female,"Scenario E (female): Age: 70 • Married male/female • Principal operator • Pleasure use only • No accidents or moving violations in three years • Drives 7,500 miles annually. This comparison of six month premiums for a 2018 Chevrolet Malibu LS 4-door sedan reflects the following insurance coverage: A $25,000 maximum bodily injury limit for anyone person in any one accident subject to a maximum for all bodily injury damages of $50,000 in any one accident; a $25,000 maximum limit for property damage liability for any one accident; a $500 comprehensive deductible; a $500 collision deductible.",70,F,married,,0,0,full,"$25,000/$50,000 BI; $25,000 PD",500,500,2018 Chevrolet Malibu LS 4-door sedan,7500,,,"use: pleasure use only; principal operator; rates exclude operator discounts (accident-free, good student, etc.) but include vehicle discounts (passive restraint, anti-lock brakes); insured assumed to meet each company's eligibility criteria"
